ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher,Year-Of-Publication-Bin,Book-Author-Encode,Book-Publisher-Encode,Year-Of-Publication-Bin-Encode,Filtered-Title
0307302016,winnie pooh honey tree little golden book,Golden Books,1995,Western Publishing Company,"[1980, 2000)",2188,1293,4,winnie pooh honey tree little golden
0689832362,parallel journey,Eleanor H. Ayer,2000,Aladdin,"[2000, 2020)",1735,28,5,parallel journey
0140314601,playing beatie bow puffin book,Ruth Park,1984,Puffin Books,"[1980, 2000)",5447,947,4,playing beatie bow puffin
0394700023,stranger,Albert Camus,1954,Vintage Books USA,"[1940, 1960)",137,1257,2,stranger
0764227270,sparrow fall,Linda Nichols,2002,Bethany House Publishers,"[2000, 2020)",3814,149,5,sparrow fall
074341022X,dark hollow,John Connolly,2002,Pocket,"[2000, 2020)",3055,913,5,dark hollow
0749320346,bridge madison county,Robert James Waller,1995,Mandarin,"[1980, 2000)",5297,723,4,bridge madison county
0060975644,happy time novel,Laurie Colwin,1993,Perennial,"[1980, 2000)",3707,878,4,happy time
034544177X,soul family story southie ballantine reader circle,Michael Patrick MacDonald,2000,Ballantine Books,"[2000, 2020)",4417,111,5,soul family  southie ballantine reader circle
038070918X,beezus ramona,Beverly Cleary,1990,HarperTrophy,"[1980, 2000)",652,529,4,beezus ramona
0380723816,wayside school get little stranger wayside school,Louis Sachar,1996,HarperTrophy,"[1980, 2000)",3897,529,4,wayside school get little stranger wayside school
0590944649,titanic crossing,Barbara Williams,1997,Scholastic,"[1980, 2000)",548,1048,4,titanic crossing
0440404908,fudge mania,Judy Blume,1991,Yearling,"[1980, 2000)",3274,1331,4,fudge mania
0440986591,maybe,Judy Blume,1976,Laure Leaf,"[1960, 1980)",3274,652,3,maybe
0553573209,firefly beach,Luanne Rice,2001,Bantam Books,"[2000, 2020)",3916,113,5,firefly beach
0451526961,midsummer night dream signet classic,William Shakespeare,1998,Signet Book,"[1980, 2000)",6385,1081,4,midsummer night dream signet classic
0515128821,breaker,Minette Walters,2000,Jove Books,"[2000, 2020)",4489,625,5,breaker
0765340747,pillar creation sword truth book,Terry Goodkind,2002,Tor Books,"[2000, 2020)",6004,1191,5,pillar creation sword truth
0812555104,yon ill wind xanth novel xanth,Piers Anthony,1997,Tor Fantasy,"[1980, 2000)",5020,1194,4,yon ill wind xanth  xanth
038071129X,death joyce scholar peter mcgarr mystery,Bartholomew Gill,2002,Avon,"[2000, 2020)",565,94,5,death joyce scholar peter mcgarr mystery
0380816032,big u,Neal Stephenson,2001,Perennial,"[2000, 2020)",4615,878,5,big u
0449220184,seventh heaven,Alice Hoffman,1991,Fawcett Books,"[1980, 2000)",174,410,4,seventh heaven
1576737535,truth seeker malley,Dee Henderson,2001,Multnomah,"[2000, 2020)",1453,771,5,truth seeker malley
0399140433,judge,Steven Paul Martini,1996,Putnam Pub Group,"[1980, 2000)",5801,952,4,judge
0452283035,frida,Barbara Mujica,2002,Plume Books,"[2000, 2020)",531,911,5,frida
0316107107,bloom county loose tail,Berke Breathed,1983,Little Brown & Co,"[1980, 2000)",601,680,4,bloom county loose tail
0345394259,hotel paradise,Martha Grimes,1997,Ballantine Books,"[1980, 2000)",4196,111,4,hotel paradise
0671738275,malice domestic malice domestic paperback,Martin Greenberg,1993,Pocket,"[1980, 2000)",4212,913,4,malice domestic malice domestic 
0553565370,scandal fair,Carolyn G. Hart,1995,Bantam Books,"[1980, 2000)",923,113,4,scandal fair
0440225272,homecoming,Belva Plain,1998,Dell Publishing Company,"[1980, 2000)",579,290,4,homecoming
0671612689,weave world,Clive Barker,1987,Simon & Schuster,"[1980, 2000)",1119,1087,4,weave world
0671551817,ever wanted enough,Harold S. Kushner,1987,Pocket,"[1980, 2000)",2298,913,4,ever wanted enough
0804105278,living loud,Anna Quindlen,1992,Ivy Books,"[1980, 2000)",332,608,4,living loud
0380000490,sunshine novel avon flare book,Norma Klein,1982,Harper Mass Market Paperbacks (Mm),"[1980, 2000)",4686,508,4,sunshine  avon flare
0312902026,isak dinesen life storyteller,Judith Thurman,1985,St Martins Pr (Mm),"[1980, 2000)",3269,1121,4,isak dinesen life storyteller
0671657151,closing american mind,Allan Bloom,1988,Simon & Schuster,"[1980, 2000)",201,1087,4,closing american mind
0064471101,magician nephew rack narnia,C. S. Lewis,2002,HarperCollins,"[2000, 2020)",796,514,5,magician nephew rack narnia
0020518501,whome bell toll reissue scribner classic,Ernest Hemingway,1987,Scribner Paper Fiction,"[1980, 2000)",1877,1064,4,whome bell toll reissue scribner classic
076790284X,bella tuscany sweet life italy,FRANCES MAYES,2000,Broadway,"[2000, 2020)",1929,192,5,bella tuscany sweet life italy
0395500761,richard brautigan trout fishing america pill versus springhill mine disaster watermelon sugar,Richard Brautigan,1989,Mariner Books,"[1980, 2000)",5188,726,4,richard brautigan trout fishing america pill versus springhill mine disaster watermelon sugar
0553584014,secret hour,LUANNE RICE,2004,Bantam,"[2000, 2020)",3634,112,5,secret hour
0312306180,jenny jaw life short story,Jincy Willett,2002,St. Martin's Griffin,"[2000, 2020)",2970,1123,5,jenny jaw life short
1563899809,unmanned last man book,Brian K. Vaughan,2003,DC Comics,"[2000, 2020)",748,273,5,unmanned last man
1884910033,fiction writer workshop,Josip Novakovich,1995,F & W Pubns,"[1980, 2000)",3231,392,4,fiction writer workshop
1563893339,death time life death,Neil Gaiman,1997,DC Comics,"[1980, 2000)",4619,273,4,death time life death
1563891336,death high cost living,Neil Gaiman,1994,DC Comics,"[1980, 2000)",4619,273,4,death high cost living
0140440011,odyssey classic,Homer,1970,Penguin Books Ltd,"[1960, 1980)",2386,864,3,odyssey classic
0671020668,object affection movie tie,Stephen McCauley,1998,Pocket,"[1980, 2000)",5768,913,4,object affection movie tie
0446364797,silken web,Sandra Brown,1993,Warner Books,"[1980, 2000)",5541,1277,4,silken web
068801111X,,Caroline Sutton,1982,Perennial Currents,"[1980, 2000)",918,881,4,
006440188X,secret garden,Frances Hodgson Burnett,1998,HarperTrophy,"[1980, 2000)",1970,529,4,secret garden
0140366849,black beauty puffin classic,Anna Sewell,1994,Puffin Books,"[1980, 2000)",333,947,4,black beauty puffin classic
078601556X,crimson shadow,Trisha Baker,2003,Pinnacle Books,"[2000, 2020)",6170,899,5,crimson shadow
0061040282,medicine woman,Lynn V. Andrews,1993,Harper Mass Market Paperbacks,"[1980, 2000)",3961,507,4,medicine woman
0060099453,merry christmas amelia bedelia read book,Peggy Parish,2002,HarperTrophy,"[2000, 2020)",4911,529,5,merry christmas amelia bedelia read
069401236X,little princess book charm,Frances Hodgson Burnett,1999,HarperFestival,"[1980, 2000)",1970,521,4,little princess  charm
0375804013,monster end book jellybean book tm,Jon Stone,1999,Rhcp Mass Market,"[1980, 2000)",3169,1000,4,monster end  jellybean  tm
0141302712,umbrella man story short story collection,Roald Dahl,2000,Puffin Books,"[2000, 2020)",5246,947,5,umbrella man  short  collection
0156332256,four quartet harvest book,T. S. Eliot,1968,Harvest Books,"[1960, 1980)",5935,541,3,four quartet harvest
0553104225,deep,Peter Benchley,1900,Bantam Doubleday Dell,"[1900, 1920)",4937,119,0,deep
0451117298,cujo,Stephen King,1982,New American Library,"[1980, 2000)",5762,789,4,cujo
0451167783,streetcar named desire,Tennessee Williams,1989,Signet Book,"[1980, 2000)",5994,1081,4,streetcar named desire
0140450238,saint joan chronicle play six scene epilogue shaw bernard bernard shaw library,Bernard Shaw,1957,Penguin Books,"[1940, 1960)",612,860,2,saint joan chronicle play six scene epilogue shaw bernard bernard shaw library
0140430636,bleak house english library,Charles Dickens,1971,Penguin USA,"[1960, 1980)",992,872,3,bleak house english library
0486264734,bartleby benito cereno dover thrift edition,Herman Melville,1990,Dover Publications,"[1980, 2000)",2374,329,4,bartleby benito cereno dover thrift edition
0140042210,portrait artist young man,James Joyce,1989,Penguin USA,"[1980, 2000)",2677,872,4,portrait artist young man
0385313136,covenant vampire diary family dracul,Jeanne Kalogridis,1994,Bantam Dell Pub Group,"[1980, 2000)",2836,117,4,covenant vampire diary family dracul
0812522486,little country,Charles de Lint,1997,Tor Books (Mm),"[1980, 2000)",1009,1192,4,little country
0688168957,hunting amanda,Andrew Klavan,1999,William Morrow,"[1980, 2000)",275,1305,4,hunting amanda
0345450736,sister hannah kristin,KRISTIN HANNAH,2003,Ballantine Books,"[2000, 2020)",3360,111,5,sister hannah kristin
0679450424,safe place,Richard North Patterson,1998,Random House Inc,"[1980, 2000)",5212,970,4,safe place
0679776362,amelia earhart novel vintage contemporary,Jane Mendelsohn,1997,Vintage Books USA,"[1980, 2000)",2747,1257,4,amelia earhart  vintage contemporary
0140184996,power glory twentieth century classic,Graham Greene,1995,Penguin Books,"[1980, 2000)",2204,860,4,power glory twentieth century classic
0140278206,house gun,Nadine Gordimer,1999,Penguin Books,"[1980, 2000)",4556,860,4,house gun
0515119652,heart tonight always matter choice ending beginning,Nora Roberts,1996,Jove Books,"[1980, 2000)",4684,625,4,heart tonight always matter choice ending beginning
0345440072,seven dial,ANNE PERRY,2003,Ballantine Books,"[2000, 2020)",62,111,5,seven dial
0440508509,cinematherapy girl guide movie every mood,Beverly West,1999,Dell,"[1980, 2000)",657,287,4,cinematherapy girl guide movie every mood
0671014935,likely die alexandra cooper mystery paperback,Linda Fairstein,1998,Pocket Books,"[1980, 2000)",3801,915,4,likely die alexandra cooper mystery 
3442437717,asche zu asche,Elizabeth George,1997,Goldmann,"[1980, 2000)",1764,456,4,asche zu asche
0446404292,sanctuary sparrow brother cadfael mystery,Ellis Peters,1995,Warner Books,"[1980, 2000)",1810,1277,4,sanctuary sparrow brother cadfael mystery
0345341988,death note,Ruth Rendell,1994,Fawcett Books,"[1980, 2000)",5451,410,4,death note
0446353914,night magic,Karen Robards,1988,Warner Books,"[1980, 2000)",3389,1277,4,night magic
068480753X,dead man walk,Larry McMurtry,1995,Simon & Schuster,"[1980, 2000)",3659,1087,4,dead man walk
0553256742,yeager autobiography,Chuck Yeager,1986,Bantam Books,"[1980, 2000)",1095,113,4,yeager autobiography
0380794470,dream little dream,Susan Elizabeth Phillips,1998,Avon,"[1980, 2000)",5838,94,4,dream little dream
0688163173,shutter island novel,Dennis Lehane,2003,William Morrow,"[2000, 2020)",1474,1305,5,shutter island
0553573357,blue mar,Kim Stanley Robinson,1997,Spectra Books,"[1980, 2000)",3540,1116,4,blue mar
0451206665,always heart,Catherine Anderson,2002,Signet Book,"[2000, 2020)",945,1081,5,always heart
0312966555,thing wise wonderful thing wise wonderful,James Herriot,1998,St. Martin's Press,"[1980, 2000)",2669,1126,4,thing wise wonderful thing wise wonderful
0515100536,aviator brotherhood war,W. E. B. Griffin,1989,Jove Books,"[1980, 2000)",6253,625,4,aviator brotherhood war
0449200531,twice shy,Dick Francis,1983,Fawcett Books,"[1980, 2000)",1507,410,4,twice shy
0440539811,illuminatus trilogy eye pyramid golden apple leviathan,Robert Shea,1984,Dell Publishing Company,"[1980, 2000)",5337,290,4,illuminatus trilogy eye pyramid golden apple leviathan
0425163717,holiday death,J. D. Robb,1998,Berkley Publishing Group,"[1980, 2000)",2481,145,4,holiday death
044661095X,killing time,Caleb Carr,2002,Warner Books,"[2000, 2020)",843,1277,5,killing time
0395353009,prince tide,Pat Conroy,1986,Houghton Mifflin Company,"[1980, 2000)",4802,573,4,prince tide
0786014202,thicker water,P. J. Parrish,2003,Pinnacle Books,"[2000, 2020)",4740,899,5,thicker water
0671024256,writing,Stephen King,2001,Pocket,"[2000, 2020)",5762,913,5,writing
0385482493,gift jew tribe desert nomad changed way everyone think feel hinge history,Thomas Cahill,1999,Anchor,"[1980, 2000)",6033,58,4,gift jew tribe desert nomad changed way everyone think feel hinge history
0375414827,language police pressure group restrict student learn,DIANE RAVITCH,2003,Knopf,"[2000, 2020)",1233,639,5,language police pressure group restrict student learn
0553297260,darkness,John Saul,1992,Bantam Books,"[1980, 2000)",3132,113,4,darkness
1551666006,angel mine mira,Sherryl Woods,2000,Mira,"[2000, 2020)",5654,756,5,angel mine mira
0553211927,son lover bantam classic,D. H. Lawrence,1985,Bantam Books,"[1980, 2000)",1183,113,4,son lover bantam classic
0061099341,crow fly,Jeffrey Archer,1992,HarperTorch,"[1980, 2000)",2861,528,4,crow fly
038097536X,heir,Johanna Lindsey,2000,William Morrow & Company,"[2000, 2020)",3033,1306,5,heir
1400031699,little friend,Donna Tartt,2003,Vintage,"[2000, 2020)",1560,1254,5,little friend
0740704818,blue day book,Bradley Trevor Greive,2000,Andrews McMeel Publishing,"[2000, 2020)",720,63,5,blue day
0849916550,chose nail,Max Lucado,2000,W Publishing Group,"[2000, 2020)",4304,1267,5,chose nail
0452283795,wanderlust,Chris Dyer,2003,Plume Books,"[2000, 2020)",1043,911,5,wanderlust
0515128007,morning,Suzanne Forster,2000,Jove Books,"[2000, 2020)",5902,625,5,morning
0061053309,truth official guide x file vol,Brian Lowry,1995,Perennial Currents,"[1980, 2000)",752,881,4,truth official guide x file vol
0446670006,dork cork,Chet Raymo,1994,Warner Books,"[1980, 2000)",1031,1277,4,dork cork
0449148394,grievous sin peter decker rina lazarus novel paperback,Faye Kellerman,1994,Fawcett Books,"[1980, 2000)",1942,410,4,grievous sin peter decker rina lazarus  
0452284694,gunslinger dark tower book,Stephen King,2003,Plume Books,"[2000, 2020)",5762,911,5,gunslinger dark tower
0767908171,short history nearly everything,Bill Bryson,2003,Broadway,"[2000, 2020)",667,192,5,short history nearly everything
0385311400,drum autumn,DIANA GABALDON,1996,Delacorte Press,"[1980, 2000)",1231,285,4,drum autumn
0060191821,worst fear realized,Stuart Woods,1999,Harpercollins,"[1980, 2000)",5816,530,4,worst fear realized
0679729461,vintage bradbury ray bradbury selection best story,Ray Bradbury,1990,Vintage Books USA,"[1980, 2000)",5133,1257,4,vintage bradbury ray bradbury selection best
0425153789,immortal death,J. D. Robb,1996,Berkley Publishing Group,"[1980, 2000)",2481,145,4,immortal death
0812574621,animist,Eve Forward,2001,Tor Fantasy,"[2000, 2020)",1914,1194,5,animist
0451166604,small sacrifice true story passion murder,Ann Rule,1988,Signet Book,"[1980, 2000)",319,1081,4,small sacrifice true  passion murder
0553560239,hot house life inside leavenworth prison,PETE EARLEY,1993,Bantam,"[1980, 2000)",4759,112,4,hot house life inside leavenworth prison
0345440021,funeral blue,Anne Perry,2002,Fawcett Books,"[2000, 2020)",363,410,5,funeral blue
0451452259,witch abroad discworld novel paperback,Terry Pratchett,1900,New Amer Library,"[1900, 1920)",6009,785,0,witch abroad discworld  
0670852341,mid life confidential rock bottom remainder tour america three chord attitude,Dave Marsh,1994,Penguin USA,"[1980, 2000)",1322,872,4,mid life confidential rock bottom remainder tour america three chord attitude
0916856003,alcoholic anonymous story many thousand men woman recovered alcoholism b,Bill W.,1976,Alcoholics Anonymous World Services,"[1960, 1980)",687,35,3,alcoholic anonymous  many thousand men woman recovered alcoholism b
0916856011,twelve step twelve tradition,Alcoholics Anonymous,1989,Hazelden Publishing & Educational Services,"[1980, 2000)",140,548,4,twelve step twelve tradition
0380817160,winter haunting,Dan Simmons,2002,HarperTorch,"[2000, 2020)",1265,528,5,winter haunting
0380973820,dust returned novel,Ray Bradbury,2001,William Morrow & Company,"[2000, 2020)",5133,1306,5,dust returned
0553231081,southern discomfort,Rita Mae Brown,1983,Bantam Books,"[1980, 2000)",5245,113,4,southern discomfort
1576751996,affluenza consuming epidemic,John De Graaf,2002,Berrett-Koehler Publishers,"[2000, 2020)",3060,147,5,affluenza consuming epidemic
1565840003,race black white think feel american obsession,Studs Terkel,1992,W W Norton & Co Inc,"[1980, 2000)",5817,1269,4,race black white think feel american obsession
0345383044,jihad v mcworld globalism tribalism reshaping world,Benjamin R. Barber,1996,Ballantine Books,"[1980, 2000)",593,111,4,jihad v mcworld globalism tribalism reshaping world
0836278445,step leadership dilbert book,Scott Adams,1999,Andrews McMeel Publishing,"[1980, 2000)",5587,63,4,step leadership dilbert
0061090891,santa fe rule,Stuart Woods,1993,HarperTorch,"[1980, 2000)",5816,528,4,santa fe rule
0394588320,harlot ghost,Norman Mailer,1991,Random House Inc,"[1980, 2000)",4692,970,4,harlot ghost
0449206467,last enchantment,Mary Stewart,1990,Fawcett Books,"[1980, 2000)",4266,410,4,last enchantment
0553295276,beauty,Sheri S. Tepper,1992,Bantam,"[1980, 2000)",5645,112,4,beauty
0893756083,around world day,Jules Verne,1981,Troll Communications,"[1980, 2000)",3287,1207,4,around world day
0966410076,lied disinformation guide medium distortion historical whitewash cultural myth,Russ Kick,2001,The Disinformation Company,"[2000, 2020)",5436,1164,5,lied disinformation guide medium distortion historical whitewash cultural myth
1578591201,videohound golden movie retriever,Jim Craddock,2000,Gale Group,"[2000, 2020)",2951,445,5,videohound golden movie retriever
0679726470,complete monty python flying circus word volume,Graham Chapman,1989,Pantheon Books,"[1980, 2000)",2203,850,4,complete monty python flying circus word volume
0670691992,talisman,Stephen King,1984,Viking Books,"[1980, 2000)",5762,1247,4,talisman
0452261341,gunslinger tower dark tower,Stephen King,1988,Penguin Putnam~trade,"[1980, 2000)",5762,870,4,gunslinger tower dark tower
0312022824,silence lamb,Thomas Harris,1999,St. Martin's Press,"[1980, 2000)",6038,1126,4,silence lamb
0679748091,ripley water vintage crime black lizard,Patricia Highsmith,1993,Vintage Books USA,"[1980, 2000)",4819,1257,4,ripley water vintage crime black lizard
0679742301,ripley ground vintage crime black lizard,Patricia Highsmith,1992,Vintage Books USA,"[1980, 2000)",4819,1257,4,ripley ground vintage crime black lizard
0380751402,uncertain magic,Laura Kinsale,1987,Avon,"[1980, 2000)",3678,94,4,uncertain magic
0380761319,shadow star,Laura Kinsale,1991,Harpercollins,"[1980, 2000)",3678,530,4,shadow star
0671882368,jane austen ate charles dickens knew fox hunting whist fact daily life nineteenth century england,Daniel Pool,1994,Touchstone,"[1980, 2000)",1287,1197,4,jane austen ate charles dickens knew fox hunting whist fact daily life nineteenth century england
0061094145,fifth dominion imajica book,Clive Barker,1995,HarperTorch,"[1980, 2000)",1119,528,4,fifth dominion imajica
0553573268,shadow end,Sheri S. Tepper,1995,Spectra Books,"[1980, 2000)",5645,1116,4,shadow end
039913039X,skeleton crew,Stephen King,1985,Putnam Pub Group,"[1980, 2000)",5762,952,4,skeleton crew
0440501091,vision light,Judith Merkle Riley,1989,Bantam Dell Pub Group,"[1980, 2000)",3259,117,4,vision light
0890090572,original illustrated sherlock holmes,Arthur Conan Doyle,1991,Castle Books,"[1980, 2000)",438,218,4,original illustrated sherlock holmes
0446677477,cashflow quadrant rich dad guide financial freedom,Robert T. Kiyosaki,2000,Warner Books,"[2000, 2020)",5339,1277,5,cashflow quadrant rich dad guide financial freedom
0883657376,best recipe back box bottle can jar,Ceil Dyer,1992,BBS Publishing Corporation,"[1980, 2000)",971,100,4,best recipe back box bottle can jar
0812562860,rider sky,Charles Grant,2000,Tor Books,"[2000, 2020)",994,1191,5,rider sky
0810322951,vampire book encyclopedia undead,J. Gordon Melton,1994,Mint Pub,"[1980, 2000)",2486,755,4,vampire  encyclopedia undead
0553254510,light end,John Skipp,1992,Bantam Books,"[1980, 2000)",3137,113,4,light end
0800783360,screwtape letter book study guide,C. S. Lewis,1978,Baker Pub Group,"[1960, 1980)",796,108,3,screwtape letter  study guide
0671733419,woman love much,Robin Norwood,1990,Pocket,"[1980, 2000)",5360,913,4,woman love much
0316082775,bartlett familiar quotation collection passage phrase proverb traced source ancient modern literature,John Bartlett,1992,"Little, Brown","[1980, 2000)",3040,687,4,bartlett familiar quotation collection passage phrase proverb traced source ancient modern literature
0345349571,distant mirror calamitous fourteenth century,Barbara Tuchman,1979,Ballantine Books,"[1960, 1980)",545,111,3,distant mirror calamitous fourteenth century
0452279178,wizard glass dark tower book,Stephen King,1997,Plume Books,"[1980, 2000)",5762,911,4,wizard glass dark tower
0452267404,waste land tower dark tower iii,Stephen King,1992,Penguin Putnam~trade,"[1980, 2000)",5762,870,4,waste land tower dark tower iii
0060982020,got read contemporary american writer introduce story held awe,Ron Hansen,1994,Perennial,"[1980, 2000)",5395,878,4,got read contemporary american writer introduce  held awe
0812885406,sex history,Reay Tannahill,1982,Scarborough House Publishers,"[1980, 2000)",5143,1039,4,sex history
0395437482,dictionary cultural literacy,"E.D., Jr. Hirsch",1988,Houghton Mifflin Co,"[1980, 2000)",1634,572,4,dictionary cultural literacy
0140481389,crucible play four act penguin play,Arthur Miller,1976,Penguin Books,"[1960, 1980)",444,860,3,crucible play four act penguin play
0451521242,tragedy julius caesar signet book,William Shakespeare,1987,Signet Classics,"[1980, 2000)",6385,1083,4,tragedy julius caesar signet
0553572989,rise endymion,DAN SIMMONS,1998,Spectra,"[1980, 2000)",1195,1115,4,rise endymion
0802130348,waiting godot,Samuel Beckett,1997,Grove Press,"[1980, 2000)",5533,475,4,waiting godot
0553572946,endymion,DAN SIMMONS,1996,Bantam,"[1980, 2000)",1195,112,4,endymion
0380729342,tale watership,Richard Adams,1998,Avon,"[1980, 2000)",5182,94,4,tale watership
0553563505,hollow man,Dan Simmons,1993,Bantam,"[1980, 2000)",1265,112,4,hollow man
0822216310,santaland diary season greeting play,David Sedaris,1998,Dramatists Play Service Inc,"[1980, 2000)",1399,332,4,santaland diary season greeting play
0440141818,jerusalem inn,Martha Grimes,1990,Dell,"[1980, 2000)",4196,287,4,jerusalem inn
0380791994,singer sea,Sheri S. Tepper,2000,Eos,"[2000, 2020)",5645,383,5,singer sea
0802131301,baby bathwater laughing wild two play,Christopher Durang,1989,Grove Press,"[1980, 2000)",1074,475,4,baby bathwater laughing wild two play
0446672289,death common sense law suffocating america,Phillip K Howard,1996,Warner Books,"[1980, 2000)",5009,1277,4,death common sense law suffocating america
0395257301,silmarillion,J. R. R. Tolkien,1977,Houghton Mifflin Company,"[1960, 1980)",2499,573,3,silmarillion
0971394202,everything know wrong disinformation guide secret lie,Russ Kick,2002,Last Gasp,"[2000, 2020)",5436,649,5,everything know wrong disinformation guide secret lie
0884963799,art fear observation peril reward artmaking,David Bayles,1994,Consortium Book Sales & Dist,"[1980, 2000)",1334,248,4,art fear observation peril reward artmaking
0671695185,blue world blue world,Robert McCammon,1990,Pocket,"[1980, 2000)",5319,913,4,blue world blue world
0020442505,silver chair,C. S. Lewis,1970,MacMillan Publishing Company.,"[1960, 1980)",796,716,3,silver chair
1560761555,vampire mist ravenloft book,Christie Golden,1991,Wizards of the Coast,"[1980, 2000)",1058,1311,4,vampire mist ravenloft
0061009431,secret life laszlo count dracula,Roderick Anscombe,1995,HarperCollins Publishers,"[1980, 2000)",5373,518,4,secret life laszlo count dracula
0679435212,crooked little heart,Anne Lamott,1997,Pantheon Books,"[1980, 2000)",352,850,4,crooked little heart
0553278835,ala babylon,PAT FRANK,1984,Spectra,"[1980, 2000)",4751,1115,4,ala babylon
0671791974,imzadi star trek next generation star trek next generation,Peter David,1992,Star Trek,"[1980, 2000)",4948,1130,4,imzadi star trek next generation star trek next generation
0345431693,dave barry turn,Dave Barry,1999,Ballantine Books,"[1980, 2000)",1317,111,4,dave barry turn
0345444884,talisman,STEPHEN KING,2001,Ballantine Books,"[2000, 2020)",5497,111,5,talisman
0812584279,mad merlin mad merlin,J. Robert King,2001,Tor Fantasy,"[2000, 2020)",2500,1194,5,mad merlin mad merlin
0553584367,dream believe,Josie Litton,2001,Bantam Books,"[2000, 2020)",3229,113,5,dream believe
0312925883,without daughter,Betty Mahmoody,1993,St. Martin's Press,"[1980, 2000)",644,1126,4,without daughter
0849942918,heaven weeps novel,Ted Dekker,2001,WestBow Press,"[2000, 2020)",5987,1292,5,heaven weeps
0385482515,desire everlasting hill world jesus hinge history vol,Thomas Cahill,1999,Nan A. Talese,"[1980, 2000)",6033,777,4,desire everlasting hill world jesus hinge history vol
0330361120,monk swimming,Malachy McCourt,1998,Picador USA,"[1980, 2000)",4056,898,4,monk swimming
0061095052,woman place,Barbara Delinsky,1998,HarperTorch,"[1980, 2000)",513,528,4,woman place
0452279259,hot chocolate mystical soul true story angel miracle healing,Arielle Ford,1998,Plume Books,"[1980, 2000)",426,911,4,hot chocolate mystical soul true  angel miracle healing
0393315703,blind watchmaker evidence evolution reveals universe without design,Richard Dawkins,1996,W. W. Norton & Company,"[1980, 2000)",5192,1270,4,blind watchmaker evidence evolution reveals universe without design
0452284015,darwin award ii unnatural selection,Wendy Northcutt,2003,Plume Books,"[2000, 2020)",6315,911,5,darwin award ii unnatural selection
0553576046,riley morning,Sandra Brown,2001,Bantam Books,"[2000, 2020)",5541,113,5,riley morning
0452278848,sharmila book,Bharti Kirchner,2000,Plume Books,"[2000, 2020)",660,911,5,sharmila
0671663984,seven habit highly effective people powerful lesson personal change,Stephen R. Covey,1989,Free Press,"[1980, 2000)",5771,435,4,seven habit highly effective people powerful lesson personal change
0517598493,return merlin,Deepak Chopra,1995,Random House Inc,"[1980, 2000)",1454,970,4,return merlin
0446519723,heart novel,Billie Letts,1995,Warner Books,"[1980, 2000)",690,1277,4,heart
0786865091,sweat small stuff love simple way nurture strengthen relationship avoiding habit break loving tion sweat small stuff hyperion,Richard Carlson,1999,Hyperion,"[1980, 2000)",5191,579,4,sweat small stuff love simple way nurture strengthen relationship avoiding habit break loving tion sweat small stuff hyperion
0671898841,time time sequel time,Jack Finney,1995,Simon & Schuster,"[1980, 2000)",2591,1087,4,time time sequel time
0312315228,atkins life complete controlled carb program permanent weight loss good health,Robert C. Atkins,2003,St. Martin's Press,"[2000, 2020)",5262,1126,5,atkins life complete controlled carb program permanent weight loss good health
0399522115,psychologist book self test love sex intelligence career personality test developed professional reveal real,Louis H. Janda,1996,Perigee Books,"[1980, 2000)",3895,884,4,psychologist  self test love sex intelligence career personality test developed professional reveal real
067173590X,secret diary laura palmer twin peak twin peak book,Jennifer Lynch,1990,Pocket,"[1980, 2000)",2890,913,4,secret diary laura palmer twin peak twin peak
039568093X,prozac nation young depressed america,Elizabeth Wurtzel,1994,Houghton Mifflin Company,"[1980, 2000)",1788,573,4,prozac nation young depressed america
0316540838,hottest state novel,Ethan Hawke,1996,Little Brown & Co,"[1980, 2000)",1896,680,4,hottest state
037541326X,ash wednesday,ETHAN HAWKE,2002,Knopf,"[2000, 2020)",1659,639,5,ash wednesday
0345432711,hilary jackie,Hilary Du Pre,1998,Ballantine Books,"[1980, 2000)",2379,111,4,hilary jackie
1573225843,cloister walk,Kathleen Norris,1997,Riverhead Books,"[1980, 2000)",3455,1003,4,cloister walk
1551666103,mistress,Susan Wiggs,2000,Mira,"[2000, 2020)",5879,756,5,mistress
0671537865,one wish,Linda Lael Miller,2000,Pocket,"[2000, 2020)",3810,913,5,one wish
0345384741,macpherson lament elizabeth macpherson mystery,Sharyn McCrumb,1993,Ballantine Books,"[1980, 2000)",5630,111,4,macpherson lament elizabeth macpherson mystery
0451410440,color law,Michael McGarrity,2002,Onyx Books,"[2000, 2020)",4405,818,5,color law
0425162613,breakup kate shugak mystery paperback,Dana Stabenow,1998,Berkley Publishing Group,"[1980, 2000)",1270,145,4,breakup kate shugak mystery 
0380765462,tombstone courage joanna brady mystery,J.A. Jance,1995,Avon,"[1980, 2000)",2504,94,4,tombstone courage joanna brady mystery
0671795880,best destiny star trek,Diane Carey,1993,Pocket,"[1980, 2000)",1493,913,4,best destiny star trek
0425141977,share death,Deborah Crombie,1994,Berkley Publishing Group,"[1980, 2000)",1433,145,4,share death
1551668378,halfway heaven,Susan Wiggs,2001,Mira,"[2000, 2020)",5879,756,5,halfway heaven
0380978547,heart warrior,Johanna Lindsey,2001,William Morrow & Company,"[2000, 2020)",3033,1306,5,heart warrior
0061012513,storming heaven,Kyle Mills,2000,HarperTorch,"[2000, 2020)",3581,528,5,storming heaven
0060931736,prime miss jean brodie perennial classic,Muriel Spark,1999,Perennial Classics,"[1980, 2000)",4535,880,4,prime miss jean brodie perennial classic
